total_spend,total_visit,avg_weekly_visit,avg_weekly_spend,avg_basket_size,total_quantity
529.38,23,1.095238095,25.20857143,23.01652174,282
1805.39,153,1.779069767,20.99290698,11.79993464,1280
3600.86,392,3.408695652,31.31182609,9.185867347,3060
4874.18,284,2.535714286,43.51946429,17.16260563,3832
455.28,24,1.142857143,21.68,18.97,280
1856.47,75,1.363636364,33.754,24.75293333,1197
1771.59,58,1.094339623,33.42622642,30.54465517,1764
3407.55,173,1.765306122,34.77091837,19.69682081,2733
3624.99,125,1.420454545,41.19306818,28.99992,2564
4260.21,109,1.3625,53.252625,39.08449541,2254
7183.85,423,3.776785714,64.14151786,16.98309693,4532
3604.36,122,1.270833333,37.54541667,29.54393443,3059
1182.21,130,1.756756757,15.97581081,9.093923077,1495
659.66,88,3.826086957,28.68086957,7.496136364,427
182.46,9,1,20.27333333,20.27333333,146
2278.79,190,1.775700935,21.2971028,11.99363158,1635
3199.75,308,2.655172414,27.58405172,10.3887987,2930
2344.96,117,1.3,26.05511111,20.04239316,1463
512.03,20,1.111111111,28.44611111,25.6015,317
1896.65,65,1.015625,29.63515625,29.17923077,1794
5883.45,564,4.947368421,51.60921053,10.43164894,4049
3061.72,252,2.210526316,26.85719298,12.14968254,3971
2740.57,113,1.569444444,38.06347222,24.25283186,2303
1188.06,200,2.197802198,13.0556044,5.9403,1006
2833.06,344,3.01754386,24.85140351,8.235639535,1955
2182.05,107,1.486111111,30.30625,20.39299065,1991
1855.95,103,1.373333333,24.746,18.01893204,1034
2219.07,62,1.107142857,39.62625,35.79145161,1343
934.2,111,1.018348624,8.570642202,8.416216216,931
3323.11,247,2.421568627,32.5795098,13.45388664,3017
1054.03,118,1.815384615,16.21584615,8.932457627,1277
3357.5,347,3.183486239,30.80275229,9.675792507,2244
12.39,1,1,12.39,12.39,12
8281.66,335,2.96460177,73.28902655,24.72137313,6362
902.87,126,1.636363636,11.72558442,7.165634921,543
1235.93,64,1.684210526,32.52447368,19.31140625,977
